topic_label,peak_year,peak_percentage,early_avg_percentage,middle_avg_percentage,late_avg_percentage
mixed topic,2017,33.559728326008795,31.152853766288512,29.279310209298473,29.837099228299394
machine learning,2014,24.24646572419312,20.492914456840662,21.89010134415969,23.153684732584864
data mining databases,2001,23.34936598163533,23.019610369448817,22.130332746892602,20.17178629326915
computer vision,2016,12.9047791019622,11.143384836092471,11.273973552348899,11.823235543132261
networks wireless systems,2008,10.008326394671109,7.246996079369874,9.00831939399532,8.443303770440828
social recommender systems,2000,8.385093167701864,6.944240491959671,6.417962753305022,6.570890432273498
